cycle_id,pond_id,species_id,total_seed,area,initial_age,limit_weight_per_area,target_cultivation_day,target_size,pond_size,padat_tebar,total_feed,avg_feed_per_day,avg_growth_feed,size_harvest,weight_harvest,total_harvested,selling_price,cycle_lead_time,harvest_time,total_seed_type_actual,total_seed_type_gross,total_seed_type_net,pond_name_A,pond_name_A1,pond_name_A2,pond_name_A3,pond_name_A4,pond_name_Other,survival_rate,survival_rate_pred,avg_body_weight,avg_body_weight_pred
10705,12523,1,230000,3000.0,0,1.2,120,45.0,2299.93,528984222.0,4391.0,52.27,1.19,125.53,1700.56,102191,0,85,85,0,1,0,0,0,0,1,0,0,44.43,45.91,10.9,10.770875709807624
10706,12524,1,210000,2098.0,0,1.2,120,45.0,2100.39,441082908.0,3715.0,46.44,1.14,155.66,1026.46,76947,0,81,81,0,1,0,0,0,0,0,1,0,36.64,37.11,8.91,10.079131835827578
10710,12526,1,220000,2200.0,0,1.2,120,45.0,2199.98,483995424.0,3688.0,46.1,1.1,149.52,1140.25,79333,0,81,81,0,1,0,0,0,0,0,0,1,36.06,36.69,9.86,10.325928209739615
10711,12528,1,240000,2400.0,0,1.2,120,45.0,2400.27,576063624.0,4352.0,51.81,0.83,119.95,1536.21,86921,0,81,81,0,1,0,0,0,0,0,0,1,36.22,37.03,11.79,10.728597044224843
10712,12529,1,220000,2200.0,0,1.2,120,45.0,2199.98,483995424.0,3928.0,46.76,0.8,139.53,1241.44,79856,0,81,81,0,1,0,0,0,0,0,0,1,36.3,37.6,10.74,10.51402657248798
10713,12530,1,180000,1800.0,0,1.2,120,45.0,1799.89,323980668.0,3153.0,37.54,0.69,142.37,782.68,52105,0,81,81,0,1,0,0,0,0,0,0,1,28.95,28.49,10.23,9.985497885298255
10714,12535,1,250000,1000.0,0,1.2,120,45.0,2500.14,625035500.0,4737.0,53.83,0.95,115.23,1139.48,66104,0,85,85,0,1,0,0,0,0,0,0,1,26.44,26.74,11.97,11.389590714151579
10718,24512,1,91334,800.0,0,1.25,120,45.0,799.84,73052897.1,1954.2,12.29,0.07,491.0,1707.42,102149,0,120,120,0,0,1,0,0,0,0,0,1,100.0,99.11,14.68,14.845571982648694
10719,24511,1,72314,600.0,0,1.25,120,45.0,599.82,43375296.7,1849.1,11.01,0.14,489.0,1353.94,77000,0,120,120,0,0,1,1,0,0,0,0,0,100.0,99.19,14.92,14.659253513147783
10737,12686,1,150000,600.0,0,1.25,120,45.0,599.82,89972820.0,1653.4,12.53,0.15,329.0,1262.0,145124,63853600,72,72,0,0,1,0,0,0,0,0,1,96.75,96.03,7.32,7.9144376049121075
10759,23692,1,120000,1000.0,0,1.25,120,45.0,1000.01,120001068.0,1100.0,6.96,0.05,108.0,693.0,37851,48963200,90,90,0,0,1,0,0,0,0,0,1,31.54,32.0,7.56,9.301295704505327
10763,24569,1,100000,500.0,0,1.25,120,45.0,1620.0,162000000.0,1050.0,18.75,0.07,387.0,1008.0,124355,47534000,56,56,0,0,1,0,0,0,0,0,1,100.0,99.79,6.88,6.635953030677753
10764,24570,1,20000,86.0,0,1.25,120,45.0,86.0,1720026.0,174.15,3.35,0.09,301.0,134.0,18166,5986000,73,57,0,0,1,0,0,0,0,0,1,90.83,89.69,4.2,4.761488017895852
10771,14351,1,375183,1340.0,0,3.0,120,45.0,1339.96,502729837.5,6363.9,71.5,0.02,651.48,3813.29,264133,33729000,90,90,0,0,1,0,0,0,0,0,1,70.4,70.37,9.59,9.882993007620739
10772,14352,1,431181,1540.0,0,3.0,120,45.0,1540.09,664056209.63,7001.6,85.39,0.43,552.67,4324.13,328034,33729000,83,83,0,0,1,0,0,0,0,0,1,76.08,75.0,8.44,9.241601621766883
