cycle_id,size,weight,total_harvested,selling_price,harvested_at
15016,328.0,2430.0,199260.0,138648000.0,2022-06-17
15017,435.0,2208.65,192152.55,119487965.0,2022-06-10
15060,50.0,4.05,202.5,222805.0,2022-07-04
15067,171.9,242.45,16410.4,14503988.0,2022-06-25
15106,168.0,320.0,53760.0,13440000.0,2022-05-17
15107,165.0,296.0,48840.0,12728000.0,2022-05-15
15108,180.0,100.0,18000.0,4100000.0,2022-05-12
15213,50.0,2.56,128.0,140965.0,2022-07-04
15214,60.0,3.96,237.6,217635.0,2022-07-04
15215,60.0,2.41,144.6,132385.0,2022-07-04
15216,50.0,3.94,197.0,216920.0,2022-07-04
15217,100.0,0.59,59.0,32560.0,2022-07-04
15219,60.0,2.84,170.4,156310.0,2022-07-04
15221,50.0,4.21,210.5,231550.0,2022-07-04
15288,61.0,884.0,53924.0,,2022-07-19
15289,84.0,641.0,53844.0,,2022-07-04
15300,850.7,6939.41,479704.5,,2022-05-24
15301,703.7,1015.84,38978.94,,2022-06-12
15303,799.6,1472.57,107120.48,,2022-05-16
15304,776.2,2672.46,227495.82,,2022-05-12
15305,906.08,6622.19,454798.74,,2022-05-24
15306,1011.0,6202.07,603385.11,,2022-05-12
15307,787.2,2809.11,222234.77,,2022-05-16
15308,687.3,3173.0,254327.41,,2022-05-10
15309,724.4,4978.48,415522.16,,2022-05-10
15310,827.6,4882.69,452357.01,,2022-05-14
15312,274.0,2811.29,172660.72,211545800.0,2022-03-21
15316,750.5,2829.14,228861.27,,2022-05-14
15399,267.5,1565.85,103949.67,282600.0,2022-03-30
15402,293.0,2361.72,167273.93,159711481.0,2022-03-28
15404,293.0,3345.89,239847.99,261400.0,2022-03-30
15405,153.0,1698.8,99034.3,115076710.0,2022-07-29
15413,340.0,7624.4,414517.1,,2022-02-02
15432,209.71,581.6,30155.5,38478557.0,2022-07-04
15433,265.0,822.5,45519.8,53435850.0,2022-07-04
15434,292.0,1048.42,53942.72,71782516.0,2022-07-04
15435,325.0,2398.7,131784.04,160680544.0,2022-07-17
15462,83.0,783.0,64989.0,46510200.0,2022-08-28
15488,505.0,308.56,74215.4,,2022-02-08
15490,415.0,195.0,37965.0,,2021-03-06
15491,203.28,305.84,31085.58,14981269.6,2022-07-14
15492,282.0,282.16,39784.56,11337804.0,2022-07-16
15493,290.2,1237.44,179552.54,50641825.4,2022-07-22
15494,409.34,744.18,152311.32,14577900.0,2022-07-14
15495,126.62,202.84,25683.6,9264919.84,2022-07-23
15496,183.82,161.26,14821.41,8677801.18,2022-07-23
15497,99.01,483.31,47852.52,25275663.07,2022-07-22
15498,214.52,268.2,57534.26,5364000.0,2022-07-22
15499,433.5,218.84,45447.0,4340650.0,2022-07-16
15500,183.18,104.1,9534.52,5484338.38,2022-07-22
15502,132.55,1236.25,163864.94,54685518.75,2022-07-23
15503,376.38,209.36,39399.46,4093750.0,2022-07-16
15504,320.5,388.56,62266.74,13012660.0,2022-07-14
15505,316.72,746.59,118229.99,28343919.28,2022-07-23
15507,301.26,1262.84,78639.71,78458588.35,2022-07-09
15508,443.08,1595.38,85271.55,110737528.04,2022-07-26
15509,371.74,1169.37,65630.58,77046955.24,2022-07-14
